id_tienda,nombre,ubicacion,telefono,rubro,correo,id_tienda,id_producto
136,Loft,"117 E Mall Plz
Carnegie
Carnegie, PA 15106",85321577,Deportes extremos,catalog@gmail.com,136,7804907236110
119,Old Navy,"560 E Waterfront Dr
Homestead
Homestead, PA 15120",91206203,Shopping,jonadab@sbcglobal.net,119,7805028956048
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca,135,7805052680827
124,Red White & Blue Thrift Store,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca,124,7805111853308
123,Cindy Esser's Floral Shop,"1122 E Carson St
South Side
Pittsburgh, PA 15203",96108901,Flores y regalos,denism@icloud.com,123,7805367674474
128,Casa Ideas,"2100 Washington Pike
Carnegie, PA 15106",81879688,Interiores,giafly@sbcglobal.net,128,7805671225140
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca,135,7805683368279
125,Paul's Clock Repair,"1234 Straka St
Crafton Heights
Pittsburgh, PA 15204",98233816,Shopping,dkrishna@msn.com,125,7805971729898
139,Rapa Nui,"214 E Main St
Carnegie
Carnegie, PA 15106",84388818,Deportes extremos,mddallara@yahoo.com,139,7806069081669
125,Paul's Clock Repair,"1234 Straka St
Crafton Heights
Pittsburgh, PA 15204",98233816,Shopping,dkrishna@msn.com,125,7806319473176
130,Porto Fino,"1201 Washington Ave
Carnegie, PA 15106",85252808,Construcción,esbeck@msn.com,130,7806322682558
139,Rapa Nui,"214 E Main St
Carnegie
Carnegie, PA 15106",84388818,Deportes extremos,mddallara@yahoo.com,139,7806396185610
124,Red White & Blue Thrift Store,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca,124,7806482442269
123,Cindy Esser's Floral Shop,"1122 E Carson St
South Side
Pittsburgh, PA 15203",96108901,Flores y regalos,denism@icloud.com,123,7806533722043
124,Red White & Blue Thrift Store,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca,124,7806757448835
131,Paddy's House,"1073 Washington Ave
Carnegie, PA 15106",83941337,Construcción,frostman@yahoo.com,131,7806855300257
131,Paddy's House,"1073 Washington Ave
Carnegie, PA 15106",83941337,Construcción,frostman@yahoo.com,131,7807134307899
136,Loft,"117 E Mall Plz
Carnegie
Carnegie, PA 15106",85321577,Deportes extremos,catalog@gmail.com,136,7807153985740
126,Falabella,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",91889265,Shopping,tjensen@yahoo.com,126,7807275218436
132,Nike,"202 3rd Ave
Carnegie
Carnegie, PA 15106",81941645,Shopping,iapetus@sbcglobal.net,132,7807291472423
119,Old Navy,"560 E Waterfront Dr
Homestead
Homestead, PA 15120",91206203,Shopping,jonadab@sbcglobal.net,119,7807461895496
137,North Face,"Raceway Plz
Carnegie, PA 15106",85769830,Deportes,chaki@msn.com,137,7807590424338
121,Big Bang Bicycles,"347 Lebanon Rd
West Mifflin, PA 15122",88393366,Deportes,mjewell@optonline.net,121,7807620078746
131,Paddy's House,"1073 Washington Ave
Carnegie, PA 15106",83941337,Construcción,frostman@yahoo.com,131,7807682660743
132,Nike,"202 3rd Ave
Carnegie
Carnegie, PA 15106",81941645,Shopping,iapetus@sbcglobal.net,132,7807950399283
124,Red White & Blue Thrift Store,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca,124,7808007383019
129,Adidas,"2100 Washington Pike
Carnegie, PA 15106",84935045,Shopping,martyloo@hotmail.com,129,7808076181585
124,Red White & Blue Thrift Store,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca,124,7808214271161
128,Casa Ideas,"2100 Washington Pike
Carnegie, PA 15106",81879688,Interiores,giafly@sbcglobal.net,128,7808299775653
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca,135,7808429910145
136,Loft,"117 E Mall Plz
Carnegie
Carnegie, PA 15106",85321577,Deportes extremos,catalog@gmail.com,136,7808600171815
126,Falabella,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",91889265,Shopping,tjensen@yahoo.com,126,7808638258700
122,American Thrift Center,"1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net,122,7808693945577
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,Tecnología,scotfl@gmail.com,134,7808817111604
120,Dick's Sporting Goods,"The Waterfront
350 East Waterfront Drive
Homestead
Homestead, PA 15120",85585647,Deportes,ryanvm@aol.com,120,7808887314158
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,Construcción,mhassel@mac.com,127,7808890002172
138,Assoto,"2323 Greentree Rd
Carnegie, PA 15106",88600221,Health & Medical,alfred@hotmail.com,138,7808901646715
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,Tecnología,scotfl@gmail.com,134,7808924033936
124,Red White & Blue Thrift Store,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca,124,7808983698589
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,Construcción,mhassel@mac.com,127,7809391323476
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,Tecnología,scotfl@gmail.com,134,7809488107040
122,American Thrift Center,"1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net,122,7809679563761
119,Old Navy,"560 E Waterfront Dr
Homestead
Homestead, PA 15120",91206203,Shopping,jonadab@sbcglobal.net,119,7809798479790
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,Tecnología,scotfl@gmail.com,134,7809949055835
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,Tecnología,scotfl@gmail.com,134,7806533722043
122,American Thrift Center,"1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net,122,7806757448835
122,American Thrift Center,"1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net,122,7806855300257
119,Old Navy,"560 E Waterfront Dr
Homestead
Homestead, PA 15120",91206203,Shopping,jonadab@sbcglobal.net,119,7807134307899
138,Assoto,"2323 Greentree Rd
Carnegie, PA 15106",88600221,Health & Medical,alfred@hotmail.com,138,7808887314158
132,Nike,"202 3rd Ave
Carnegie
Carnegie, PA 15106",81941645,Shopping,iapetus@sbcglobal.net,132,7808890002172
120,Dick's Sporting Goods,"The Waterfront
350 East Waterfront Drive
Homestead
Homestead, PA 15120",85585647,Deportes,ryanvm@aol.com,120,7808901646715
123,Cindy Esser's Floral Shop,"1122 E Carson St
South Side
Pittsburgh, PA 15203",96108901,Flores y regalos,denism@icloud.com,123,7808901646715
126,Falabella,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",91889265,Shopping,tjensen@yahoo.com,126,7808901646715
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca,135,7808901646715
